"id","name","os","status","account","dept","division","owner","storage","cpu","memory"
"3370","bro01.serverfarm.cornell.edu","Linux","Active","R504704","CIT","IT Security","wm63","151","2 physical, 24 logical","96704 ()"
"3371","bro02.serverfarm.cornell.edu","Linux","Active","R504704","CIT","IT Security","wm63","151","2 physical, 24 logical","96704 ()"
"3372","bro03.serverfarm.cornell.edu","Linux","Active","R504704","CIT","IT Security","wm63","151","2 physical, 24 logical","96704 ()"
"3373","bro04.serverfarm.cornell.edu","Linux","Active","R504704","CIT","IT Security","wm63","151","2 physical, 48 logical","96704 ()"
"3374","bro05.serverfarm.cornell.edu","Linux","Active","R504704","CIT","IT Security","wm63","201","2 physical, 48 logical","96704 ()"
"3375","pangaea01.serverfarm.cornell.edu","ESX","Gone","R524850","CIT","Systems & Operations","ljc1","0","Not Provided","Not Provided (262109)"
"3376","sf-infranode048","Windows","Active","R524870","CIT","Systems & Operations","ljc1","179","2 Physical, 2 Logical","2047 (2048)"
"3377","sf-ps-007","Windows","Active","R704750","CIT","Information Systems","vm57","79","2 Physical, 2 Logical","4095 (4096)"
"3378","bmw090.serverfarm.cornell.edu","Linux","Gone","R534702","CIT","Information Systems","gm228","637","2 physical, 2 logical","7868 (8192)"
"3379","bmw091.serverfarm.cornell.edu","Linux","Active","R534702","CIT","Information Systems","gm228","436","1 physical, 1 logical","3828 (4096)"
"3380","norway10.serverfarm.cornell.edu","ESX","Active","R524850","CIT","Systems & Operations","","0","Not Provided","Not Provided (262109)"
"3381","oxton130.serverfarm.cornell.edu","Linux","Gone","R534702","CIT","Information Systems","gm228","185","1 physical, 1 logical","3828 (4096)"
